customer_id,monthly_spend,login_frequency,support_tickets,days_inactive,subscription_type,region,is_churned
1,352,21,0,10,Premium,East,0
2,40,7,4,38,Basic,East,1
3,207,12,3,9,Premium,East,0
4,407,23,1,11,Premium,West,0
5,77,6,7,44,Basic,East,1
6,308,27,1,11,Premium,East,1
7,134,10,3,10,Premium,South,1
8,154,5,3,58,Premium,South,0
9,338,29,1,1,Premium,South,0
10,109,5,4,39,Standard,South,1
11,27,3,3,55,Basic,North,1
12,381,19,1,5,Premium,West,0
13,253,23,0,1,Premium,East,0
14,281,17,2,11,Premium,South,0
15,297,25,1,6,Standard,South,0
16,59,5,7,37,Basic,South,1
17,143,17,1,20,Premium,West,0
18,134,8,1,14,Premium,South,0
19,248,19,3,18,Premium,South,0
20,155,3,5,52,Standard,North,1
21,483,24,1,8,Basic,East,1
22,91,2,3,42,Standard,North,1
23,156,10,2,10,Premium,South,0
24,350,20,0,4,Standard,West,0
25,391,24,0,8,Standard,South,0
26,209,17,1,14,Premium,North,0
27,345,21,1,4,Premium,West,0
28,262,18,1,11,Premium,North,0
29,190,18,3,9,Basic,North,0
30,81,9,7,25,Standard,East,1
31,357,29,1,10,Basic,East,0
32,111,9,3,20,Standard,West,0
33,439,26,1,8,Premium,East,0
34,274,16,2,12,Premium,East,0
35,291,15,3,16,Basic,East,0
36,311,18,1,3,Basic,South,0
37,58,2,5,56,Standard,North,1
38,100,1,4,21,Premium,South,1
39,336,22,1,0,Standard,East,0
40,245,9,1,19,Premium,East,0
41,279,14,3,18,Standard,East,0
42,264,13,1,9,Standard,West,0
43,258,8,1,13,Standard,South,0
44,252,21,1,10,Premium,West,0
45,109,3,5,39,Premium,East,1
46,71,9,3,59,Premium,West,1
47,101,8,3,30,Standard,North,1
48,170,3,6,35,Standard,North,1
49,498,21,1,0,Premium,South,0
50,297,29,0,4,Standard,South,0
51,128,16,3,23,Premium,South,1
52,267,15,2,8,Standard,East,0
53,194,8,2,15,Premium,North,0
54,131,9,5,44,Standard,East,0
55,147,2,4,54,Standard,West,1
56,87,1,7,39,Standard,North,1
57,155,7,5,36,Premium,East,1
58,134,6,7,27,Standard,North,1
59,475,22,1,0,Standard,East,0
60,180,10,3,24,Premium,North,0
61,421,29,1,4,Standard,South,0
62,143,9,7,43,Premium,North,1
63,165,12,3,10,Standard,North,1
64,235,12,3,8,Standard,South,0
65,377,19,0,9,Basic,West,1
66,307,20,1,7,Basic,East,0
67,294,13,3,9,Premium,East,0
68,483,19,1,0,Standard,South,0
69,156,6,7,45,Premium,West,1
70,402,25,0,11,Basic,West,0
71,306,21,0,3,Basic,South,0
72,487,29,0,6,Premium,West,0
73,217,9,3,24,Premium,East,0
74,319,23,0,11,Standard,North,0
75,257,22,1,11,Premium,North,0
76,122,4,7,51,Premium,North,1
77,66,3,6,35,Premium,East,1
78,143,3,3,38,Standard,West,1
79,109,5,4,42,Premium,West,1
80,259,12,1,8,Standard,North,0
81,115,6,3,59,Premium,North,1
82,148,7,7,41,Basic,North,1
83,95,3,7,41,Standard,East,0
84,188,8,2,21,Basic,East,1
85,446,29,1,9,Premium,South,0
86,204,14,1,12,Premium,South,0
87,259,23,0,3,Standard,North,0
88,257,17,3,8,Basic,West,0
89,23,8,4,47,Basic,South,1
90,468,21,1,11,Basic,West,0
91,143,1,3,56,Standard,North,1
92,314,18,1,9,Standard,West,0
93,278,29,0,1,Basic,South,0
94,154,14,1,15,Basic,South,0
95,109,2,5,26,Basic,East,1
96,233,18,1,11,Premium,East,0
97,498,21,1,4,Premium,West,0
98,118,4,4,58,Premium,West,1
99,400,22,1,0,Basic,North,0
100,142,16,3,16,Premium,North,0
101,362,21,1,8,Premium,North,0
102,38,1,6,31,Standard,North,1
103,166,9,6,33,Standard,South,1
104,301,20,1,4,Standard,South,0
105,389,26,1,10,Premium,South,0
106,172,14,1,14,Basic,North,0
107,291,27,0,9,Premium,South,0
108,94,2,6,28,Premium,South,1
109,485,18,0,5,Premium,North,0
110,260,15,2,16,Premium,East,0
111,371,19,0,4,Standard,South,0
112,255,8,2,24,Standard,North,1
113,164,11,2,19,Basic,North,0
114,210,17,2,14,Basic,West,0
115,292,9,2,15,Premium,North,0
116,354,24,0,2,Premium,West,0
117,439,26,0,11,Basic,East,0
118,305,18,1,4,Basic,West,1
119,163,12,2,18,Standard,North,0
120,283,10,3,22,Basic,North,1
121,33,1,7,22,Standard,North,1
122,434,28,1,9,Premium,East,0
123,121,8,6,27,Premium,North,0
124,109,8,4,47,Basic,North,1
125,290,21,1,10,Standard,East,0
126,164,9,3,39,Standard,West,1
127,489,20,0,5,Premium,South,0
128,66,9,4,29,Premium,East,1
129,228,12,3,8,Standard,West,0
